type,german,english,example_de,example_en,date_last_used,times_used,notes,subtype
verb_prep,beruhen auf (+Dat),to be gounded in / to be based on / to rest on,"Sie besteht auf ihrem Recht, den Vertrag zu kündigen. / Der Kunde bestand auf einer vollständigen Rückerstattung.",,,0,,Verb + Präp.
verb_prep,Bescheid geben (+Dat),to let someone know / to inform someone,Wir geben Ihnen im Laute des nächsten Monats über den weiteren Bewerbungsprozess Bescheid.,,,0,from uploaded list,Verb + Präp.
verb_prep,Bescheid sagen (+Dat),let (someone) know,"Ich sage dir Bescheid, sobald ich etwas Neues weiß.",,,0,from uploaded list,Verb + Präp.
verb_prep,Bescheid wissen über (+Akk),to be informed about / to know about,Die Eltern wussten lange nicht über die Pläne des Sohnes Bescheid.,,2026-09-03,1,from uploaded list,Verb + Präp.
verb_prep,Beschäftigung finden in (+Dat),to find occupation / fulfilment in,Gesundheitspfleger finden u. a. Beschäftigung in Facharztpraxen und Krankenhäusern.,,2026-08-28,1,from uploaded list,Verb + Präp.
verb_prep,bestehen auf (+Dat),to insist on something / to demand something be done or respected,Sie bestand auf einer schriftlichen Bestätigung der Vereinbarung.,,2026-09-04,1,,Verb + Präp.
verb_prep,bestehen aus (+Dat),to consist of / to be made up of,Woraus besteht dieses Essen?,,,0,,Verb + Präp.
verb_prep,Bezug nehmen auf (+Akk),to refer to / to make reference to,Ich nehme Bezug auf Ihre Anzeige und bewerbe mich als Schreiner in Ihrem Unternehmen.,,,0,from uploaded list,Verb + Präp.
verb_prep,bitten um (+Akk),to ask for / to request,Malaika Hadrawi bittet eine Kollegin um Hilfe bei der Betreuung ihres Kindes.,,,0,,Verb + Präp.
verb_prep,bleiben bei (+Dat),to remain,Trotz des Drucks blieb er bei seiner ursprünglichen Entscheidung.,,2026-08-31,1,,Verb + Präp.
verb_prep,den Bedarf decken an (+Dat),to meet / cover the demand for,Unsere Firma kann den Bedarf an den neuen Smartphones nicht decken. Die Nachfrage ist zu groß.,,2026-09-04,1,from uploaded list,Verb + Präp.
verb_prep,denken an (+Akk),to think of / to think about,Denken Sie an den Lebenslauf?,,,0,,Verb + Präp.
verb_prep,diskutieren mit (+Dat),to discuss with (a person),Die Mitarbeiter diskutieren mit der Personalleiterin.,,2026-08-28,1,,Verb + Präp.
verb_prep,diskutieren über (+Akk),to discuss / to debate (a topic),Worüber diskutiert ihr denn gerade?,,,0,,Verb + Präp.
verb_prep,ein Gespräch führen mit (+Dat)/über (+Akk),have a conversation with/about,Der Vater führte ein langes Gespräch mit seiner Tochter über ihre beruflichen Ziele.,,,0,from uploaded list,Verb + Präp.
verb_prep,ein Gutes tun (+Dat),to do someone good / to be beneficial to,Die frische Luft und die Bewegung haben ihr sichtlich ein Gutes getan.,,,0,from uploaded list,Verb + Präp.
verb_prep,ein Recht haben auf (+Akk),to have a right to,Jeder Arbeitnehmer hat das Recht auf Urlaub.,,,0,from uploaded list,Verb + Präp.
verb_prep,eine Bedingung stellen an (+Akk),to place a condition on,"An unser Geschäftsverhältnis stelle ich die Bedingung, dass Sie immer pünktlich liefern.",,2026-09-02,1,from uploaded list,Verb + Präp.
verb_prep,eine Rolle spielen für (+Akk),to play a role for / to matter to,Die Leistung des Mitarbeiters spielt für den Erfolg der Firma eine große Rolle.,,2026-09-03,1,from uploaded list,Verb + Präp.
verb_prep,einen Antrag stellen bei (+Dat) auf (+Akk),to submit an application to … for,Sie stellt bei der Bundesagentur für Arbeit einen Antrag auf eine Umschulung zur Verkäuferin,,,0,from uploaded list,Verb + Präp.
verb_prep,einen Eindruck gewinnen von (+Dat),to gain an impression of / to get a sense of,Im Altstadthotel hat Malaika Hadrawi einen Eindruck von der Arbeit im Hotel gewonnen.,,,0,from uploaded list,Verb + Präp.
verb_prep,einen Gefallen tun (+Dat),to do someone a favour,Fadi hat Malaika einen Gefallen getan. Er hat auf ihren Sohn aufgepasst.,,,0,from uploaded list,Verb + Präp.
verb_prep,einen guten/schlechten Eindruck haben von (+Dat),to have a good/bad impression of,Welchen Eindruck haben Sie von dem Bewerber?,,,0,from uploaded list,Verb + Präp.
verb_prep,einen guten/schlechten Eindruck hinterlassen bei (+Dat),to leave a good/bad impression on,"Er hat einen guten Eindruck bei mir hinterlassen. Ich denke, wir sollten ihn einstellen.",,,0,from uploaded list,Verb + Präp.
verb_prep,einen guten/schlechten Eindruck machen auf (+Akk),to make a good/bad impression on,Du machst heute einen schlechten Eindruck auf mich. Bist du krank?,,,0,from uploaded list,Verb + Präp.
verb_prep,einen Hinweis geben (+Dat),to give someone a tip / hint / piece of advice,"Können Sie mir einen Hinweis geben, wo ich die Kundendaten finden kann?",,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Rabatt geben (+Dat),give a discount,Wir können Ihnen einen Rabatt von 10 % geben.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Rat geben (+Dat),give advice,"Herr Lehmann gibt Hedda Aziz den Rat, von wichtigen Dokumenten immer Sicherungskopien zu machen.",,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Tipp geben (+Dat),give a tip,"Er gab mir den Tipp, in einem Verein nach neuen Bekanntschaften zu suchen.",,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Vergleich anstellen mit (+Akk),to draw a comparison with,Hedda Aziz stellt einen Vergleich mit den Angeboten anderer Firmen an.,,,0,from uploaded list,Verb + Präp.
verb_prep,einen Vorschlag machen (+Dat),to make a suggestion to someone,Ich mache dir den folgenden Vorschlag: ...,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Vorwurf machen (+Dat),to reproach someone / to accuse someone,"Er machte ihr den Vorwurf, ihn nicht rechtzeitig informiert zu haben.",,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Wunsch abschlagen (+Akk),to turn down / refuse a request,"Wenn du mich so nett bittest, kann ich dir keinen Wunsch abschlagen.",,2026-09-04,1,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Wunsch erfüllen (+Akk),fulfill a wish,Malaika Hadrawi hat ihrem Sohn einen Wunsch erfüllt. Sie hat ihm ein Spielzeug gekauft.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,einen Zusammenhang herstellen zwischen (+Dat) und (Dat.),to establish a connection between … and,Aus der Produktqualität und dem Erfolg eines Unternehmens kann man einen Zusammenhang herstellen.,,,0,from uploaded list,Verb + Präp.
verb_prep,Einfluss nehmen auf (+Akk),to exert influence on / to have an impact on,"Die Lobbygruppe versuchte, Einfluss auf die Entscheidung des Parlaments zu nehmen.",,,0,from uploaded list,Verb + Präp.
verb_prep,einwilligen in (+Akk),to consent,"Der Patient willigte in die Operation ein, nachdem er ausführlich beraten worden war.",,,0,,Verb + Präp.
verb_prep,entsprechen (+Dat),to correspond to,,,,0,"governs dative, no preposition — grouped as valence pattern",Verb + Präp.
verb_prep,erinnern an (+Akk),to remind (someone) of,Die Blätter erinnern mich an meine Heimat in den USA.,The leaves remind me of my home in the USA.,,0,note reflexive (sich erinnern an) vs non-reflexive (jdn erinnern an) — different subject,Verb + Präp.
verb_prep,erkennen an (+Dat),to recognise by / to identify by,"Ich erkenne am Geruch, ob das Gemüse frisch ist oder nicht. / Woran erkennen Sie gutes Brot?",,2026-09-02,1,,Verb + Präp.
verb_prep,erkranken an (+Dat),to fall ill with / to develop a disease,"Sie erkrankte im Alter von 40 Jahren an Brustkrebs. / Immer mehr Menschen erkranken an Diabetes, vor allem in westlichen Ländern.",,,0,,Verb + Präp.
verb_prep,flüchten vor (+Dat),to flee from,Die Familie flüchtete vor dem Krieg in ein benachbartes Land.,,,0,,Verb + Präp.
verb_prep,fragen nach (+Dat),to ask about,Schiphrah fragt nach dem Befinden des Pharao.,Shiphrah asks about Pharaoh's state of health.,,0,,Verb + Präp.
verb_prep,Freundschaft schließen mit (+Dat),to make friends with / to form a friendship with,Nhan Nguyen hat mit Peter Freundschaft geschlossen.,,,0,from uploaded list,Verb + Präp.
verb_prep,froh sein über (+Akk),to be glad about / to be pleased about,Stefanie ist froh über ihre neue Arbeit.,,,0,,Verb + Präp.
verb_prep,gehen um (+Akk),to be about / to concern / to be a question of,"Ich verstehe nicht, worum es in dem Text geht.",,,0,,Verb + Präp.
verb_prep,gehören zu (+Dat),to belong to / to be part of,Gehört das Persische zu den semitischen Sprachen?,,,0,,Verb + Präp.
verb_prep,geraten in (+Akk),to advise,Durch schlechte Planung geriet das Unternehmen in finanzielle Schwierigkeiten.,,,0,,Verb + Präp.
verb_prep,glauben an (+Akk),to believe in,Nhan glaubt an das Gute im Menschen.,,,0,,Verb + Präp.
verb_prep,Grund nennen für (+Akk),to give / state a reason for,"Bitte nennt mir den Grund für euer Verhalten! Warum macht ihr so einen Quatsch, Kinder?",,,0,from uploaded list,Verb + Präp.
verb_prep,Hilfe brauchen/benötigen bei (+Dat),to need help with,Fayyad Hadji benötigt manchmal Hilfe von seinen Kollegen.,,,0,from uploaded list,Verb + Präp.
verb_prep,Hilfe leisten (+Dat),to provide assistance to / to help someone,Sie leistete der Familie Hilfe bei der Wohnungssuche.,,2026-08-27,1,from uploaded list,Verb + Präp.
verb_prep,Hoffnung machen (+Dat),to give someone hope / to raise someone's hopes,"Der Arzt wollte ihr keine falschen Hoffnungen machen, bevor die Ergebnisse vorlagen.",,,0,from uploaded list,Verb + Präp.
verb_prep,hängen an (+Dat),to depend on / to hinge on,"Er hängt sehr an seinem alten Elternhaus, obwohl er längst ausgezogen ist.",,2026-08-31,1,,Verb + Präp.
verb_prep,in Anspruch nehmen (+Akk),to make use of / to claim / to take up,Ihre Arbeit nimmt Dimitra Papadopoulou stark in Anspruch.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,in Schutz nehmen vor (+Dat),to protect / defend someone from,Der Chef nimmt die Mitarbeiterin vor den kritischen Kunden in Schutz.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,in Sicherheit bringen (+Akk),to bring to safety / to get someone to safety,Ein Bekannter hat die Familie vor dem Krieg in Sicherheit gebracht.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,in Verbindungen stehen mit (+Dat),to be in contact with / to be connected to,Die beiden Unternehmen stehen seit Jahren in geschäftlicher Verbindung miteinander.,,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,Kontakte knüpfen mit (+Dat),to make / establish contacts with,Anita Jiménez knüpfte Kontakte mit ihren Kollegen.,,,0,from uploaded list,Verb + Präp.
verb_prep,Kritik üben an (+Dat),to criticise / to level criticism at,Die Mutter übt Kritik an den kurzen Öffnungszeiten des Kindergartens.,,,0,from uploaded list,Verb + Präp.
verb_prep,lachen über (+Akk),to laugh about / to laugh at,Dimitra hat laut über den Witz gelacht.,,,0,,Verb + Präp.
verb_prep,leben von (+Dat),to make a living from,Als freischaffender Künstler lebt er von den Einnahmen seiner Ausstellungen.,,,0,,Verb + Präp.
verb_prep,leiden an / unter (+Dat),to suffer from,Der Patient leidet an Bluthochdruck und leidet jetzt unter der Hitze.,,2026-08-28,1,,Verb + Präp.
verb_prep,liegen an (+Dat),to be due to / because of,"Das lag daran, dass der Unterricht mir nicht so schwer vorkam.",That was because school didn't seem so hard to me.,,0,,Verb + Präp.
verb_prep,Maßnahmen ergreifen für (+Akk),to take measures for,"Wir werden geeignete Maßnahmen ergreifen, damit dieses Problem nicht wieder vorkommt",,2026-09-03,1,from uploaded list,Verb + Präp.
verb_prep,nachdenken über (+Akk),to think about / to reflect on / to ponder,Toma Popescu denkt über seine Zukunft nach.,,,0,,Verb + Präp.
verb_prep,neigen zu (+Dat),to tend towards / to be inclined to,"Er neigt dazu, Probleme zu übertreiben, anstatt sie sachlich zu betrachten. / Sie neigt zu Pessimismus, obwohl die Situation eigentlich nicht so schlimm ist.",,,0,,Verb + Präp.
verb_prep,Neugierde wecken für (+Akk),to arouse curiosity about,Die Kindergärtnerin weckt die Neugierde der Kinder für Tiere.,,,0,from uploaded list,Verb + Präp.
verb_prep,protestieren gegen (+Akk),to protest against,Tausende von Menschen protestierten gegen die geplanten Sparmaßnahmen.,,,0,,Verb + Präp.
verb_prep,Rat suchen bei (+Dat),to seek advice from,Früher suchte er oft Rat bei seinem Vater.,,,0,from uploaded list,Verb + Präp.
verb_prep,rechnen mit (+Dat),to expect,"Wir rechnen damit, dass die Ergebnisse nächste Woche vorliegen werden.",,,0,,Verb + Präp.
verb_prep,Respekt haben vor (+Dat),to have respect for,In der Altenpflege sollte man Respekt vor alten Menschen haben.,,,0,from uploaded list,Verb + Präp.
verb_prep,riechen nach (+Dat),to smell like,Die frisch gebackenen Brötchen riechen nach Zimt und Vanille.,,,0,,Verb + Präp.
verb_prep,Rücksicht nehmen auf (+Akk),to show consideration for / to be considerate of,"Liebe Nachbarn, nehmen Sie bitte Rücksicht und machen Sie die Musik nachts leiser",,,0,from uploaded list,Verb + Präp.
verb_prep,schimpfen über (+Akk),to rant about / to scold about,Er schimpfte lautstark über die ständigen Verspätungen der Bahn.,,2026-08-28,1,,Verb + Präp.
verb_prep,Schluss machen mit (+Dat),to end / finish with / to break up with,Wir machen Schluss mit hohen Preisen. 50 % Rabatt auf allesl,,,0,from uploaded list,Verb + Präp.
verb_prep,schmecken nach (+Dat),to taste like,Die Suppe schmeckt nach Knoblauch und frischen Kräutern.,,,0,,Verb + Präp.
verb_prep,schreiben über (+Akk),to write about,Nhan schreibt seiner Großmutter einen Brief über sein neues Leben.,,2026-09-02,1,,Verb + Präp.
verb_prep,schwärmen von (+Dat),to rave about / to be enthusiastic about,Sie schwärmt noch heute von ihrer Reise durch Südamerika.,,2026-09-03,1,,Verb + Präp.
verb_prep,schätzen an (+Dat),to appreciate (a quality) about (someone),Das schätze ich sehr an dir.,That's what I really appreciate about you.,,0,,Verb + Präp.
verb_prep,schützen vor (+Dat),to protect against,Eine gute Impfung schützt vor schweren Krankheitsverläufen.,,,0,,Verb + Präp.
verb_prep,sein Wort geben (+Dat),to give one's word to,"Ich gebe Ihnen mein Wort, dass ich in Zukunft nicht mehr zu spät zur Arbeit kommen werde.",,,0,"functional verb phrase (Funktionsverbgefüge), from uploaded list",Verb + Präp.
verb_prep,seine Hilfe anbieten (+Dat),to offer one's help to,Fadi Samet bietet Flüchtlingen seine Hilfe an.,,,0,from uploaded list,Verb + Präp.
verb_prep,sich anpassen an (+Akk),to adapt to / to adjust to,In einem fremden Land sollte man sich an die wichtigen Gepflogenheiten anpassen.,,,0,,Verb + Präp.
verb_prep,sich anschleichen an (+Akk),to sneak up on,,,2026-09-02,1,corrected from 'sich schlichen an' — infinitive is sich anschleichen,Verb + Präp.
verb_prep,sich aufregen über (+Akk),to get worked up about / to be annoyed about,Die Menschen regen sich über die hohen Benzinpreise auf.,,,0,,Verb + Präp.
verb_prep,sich bedanken bei (+Dat),to thank (a person),Hedda Aziz bedankt sich bei der Sozialarbeiterin für die Hilte.,,,0,,Verb + Präp.
verb_prep,sich bedanken für (+Akk),to say thank you for / to express gratitude for,Ich möchte mich für deine Hilfe bedanken.,,,0,,Verb + Präp.
verb_prep,sich begnügen mit (+Dat),to make due with,"Da das Budget knapp war, begnügte er sich mit einer einfachen Unterkunft.",,,0,,Verb + Präp.
verb_prep,sich beklagen bei (+Dat),to complain to (a person),Das Kind beklagt sich bei der Mutter.,,,0,,Verb + Präp.
verb_prep,sich beklagen über (+Akk),to complain about,Die alte Dame beklagt sich über das Essen im Krankenhaus.,,,0,,Verb + Präp.
verb_prep,sich bemühen um (+Akk),to strive for / to make an effort for / to endeavour to,Toma Popescu hat sich in Rumänien erfolglos um eine Arbeitsstelle bemüht.,,,0,,Verb + Präp.
verb_prep,sich beschweren bei (+Dat),to complain about,Sie beschwerte sich beim Vorgesetzten über das unhöfliche Verhalten ihres Kollegen.,,,0,,Verb + Präp.
verb_prep,sich beschweren bei (+Dat) über (+Akk),to complain to (someone) about (something),Ich habe mich beim Manager über den Service beschwert.,I complained to the manager about the service.,,0,,Verb + Präp.
verb_prep,sich beschweren über (+Akk),to complain about,Die Nachbarn beschweren sich über den Dreck im Treppenhaus.,,,0,,Verb + Präp.
verb_prep,sich beschäftigen mit (+Dat),to occupy oneself with / to deal with / to work on,Wir beschäftigen uns heute mit der Grammatik.,,,0,,Verb + Präp.
verb_prep,sich bewerben bei (+Dat),to apply to (a company / institution),Bewerben Sie sich doch bei diesem Unternehmen.,,,0,,Verb + Präp.
verb_prep,sich bewerben um (+Akk),to apply for (a position / award),Die Stelle ist toll! Bewirbst du dich um sie?,,,0,,Verb + Präp.
verb_prep,sich beziehen auf (+Akk),to refer to / relate to,,,,0,,Verb + Präp.
verb_prep,sich entschließen zu (+Dat),to decide to / to resolve to,"Nach langem Nachdenken entschloss sie sich zu einem Jobwechsel. / Er hat sich dazu entschlossen, das Studium abzubrechen und eine Ausbildung zu machen.",,,0,,Verb + Präp.
verb_prep,sich entschuldigen bei (+Dat),to apologise to (a person),Der Richter entschuldigt sich bei Fadi Samet für die Terminverschiebung,,,0,,Verb + Präp.
verb_prep,sich entschuldigen für (+Akk),to apologise for,Er entschuldigte sich für die Verspätung,,,0,,Verb + Präp.
verb_prep,sich erinnern an (+Akk),to remember,Ich erinnere mich an den Tag unserer ersten Begegnung.,I remember the day of our first meeting.,,0,,Verb + Präp.
verb_prep,sich freuen auf (+Akk),to look forward to (a thing),Wir freuen uns auf ein Wiedersehen mit euch.,We look forward to seeing you again.,,0,,Verb + Präp.
verb_prep,"sich freuen darauf, dass...",to look forward to (a clause/doing something),"Wir freuen uns darauf, euch alle wiederzusehen.",We look forward to seeing you all again.,,0,"use darauf/dass when the thing looked forward to is a clause, not a noun",Verb + Präp.
verb_prep,sich freuen über (+Akk),to be happz about,Er freute sich sehr über die unerwartete Beförderung.,,,0,,Verb + Präp.
verb_prep,sich fürchten vor (+Dat),to be afraid of / to fear,Malaikas Sohn fürchtet sich vor Spinnen.,,,0,,Verb + Präp.
verb_prep,sich Gedanken machen über (+Akk),to think about / to worry about,Die Jugendlichen machen sich Gedanken über ihre Zukunft.,,,0,from uploaded list,Verb + Präp.
verb_prep,sich gewöhnen an (+Akk),to get used to,"Es hat eine Weile gedauert, aber ich habe mich an den neuen Arbeitsrhythmus gewöhnt.",,,0,,Verb + Präp.
verb_prep,sich halten an (+Akk),to stick to / to adhere to / to comply with,Halten Sie sich unbedingt an die Sicherheitsbestimmungen.,,,0,,Verb + Präp.
verb_prep,sich handeln um (+Akk),to be about / to concern / to be a matter of,Es handelt sich hierbei um ein Weizenbrot mit Sonnenblumenkernen.,,,0,,Verb + Präp.
verb_prep,sich interessieren für (+Akk),to be interested in,Interessieren Sie sich für Sport?,,,0,,Verb + Präp.
verb_prep,sich irren in (+Dat),to err,"Ich habe mich in ihm geirrt — er war doch nicht so zuverlässig, wie ich dachte.",,,0,,Verb + Präp.
verb_prep,sich kümmern um (+Akk),to look after / to take care of / to deal with,Könnten Sie sich bitte um diesen Auftrag kümmern?,,,0,,Verb + Präp.
verb_prep,sich Mühe geben bei (+Dat)/mit (+Dat),to take pains with / to put in effort with,Fayyad Hadji gibt sich bei der Beratung der Kunden und mit seiner Aussprache Mühe.,,2026-09-04,1,from uploaded list,Verb + Präp.
verb_prep,sich sehnen nach (+Dat),to yearn for,Nach Monaten im Ausland sehnte sie sich nach der Küche ihrer Mutter.,,,0,,Verb + Präp.
verb_prep,sich Sorgen machen über (+Akk),to worry about,Viele Selbstständige machen sich Sorgen um ihre zukünftigen Aufträge.,,,0,from uploaded list,Verb + Präp.
verb_prep,sich treffen mit (+Dat),to meet with,Nhan trifft sich gerne mit Bekannten im Vereinshaus. / Fayyad Hadji trifft sich heute Abend mit Kollegen zum Grillen.,,,0,,Verb + Präp.
verb_prep,sich täuschen in (+Dat),to be mistaken about / to be deceived about,Sie hatte sich in ihrem Kollegen getäuscht und vertraute ihm nicht mehr.,,,0,,Verb + Präp.
verb_prep,sich unterhalten mit (+Dat),to talk with / to chat with / to converse with,Ahmed Moussa unterhält sich mit dem Journalisten.,,,0,,Verb + Präp.
verb_prep,sich unterhalten über (+Akk),to talk about / to have a conversation about,Die Kursteilnehmenden unterhalten sich über das Wochenende.,,,0,,Verb + Präp.
verb_prep,sich verabreden mit (+Dat),to arrange to meet with / to make plans with,Mit wem hast du dich heute verabredet?,,,0,,Verb + Präp.
verb_prep,sich verlassen auf (+Akk),to rely on / to count on,"Es ist wichtig, dass man sich auf einen Freund verlassen kann.",,,0,,Verb + Präp.
verb_prep,sich verlieben in (+Akk),to fall in love with,Sie verliebte sich auf den ersten Blick in ihn.,,2026-08-27,1,,Verb + Präp.
verb_prep,sich vorbereiten auf (+Akk),to prepare for,Haben Sie sich schon auf die Sprachprüfung vorbereitet?,,,0,,Verb + Präp.
verb_prep,sich wehren gegen (+Akk),to defend oneself against,Sie wehrte sich entschieden gegen die falschen Anschuldigungen.,,,0,,Verb + Präp.
verb_prep,sich wundern über (+Akk),to be surprised at / to marvel at,Der Lehrer wundert sich immer wieder über den Fleiß der Lernenden.,,,0,,Verb + Präp.
verb_prep,sich ärgern über (+Akk),to be/get annoyed about,,,,0,corrected from 'ärgarn sich' (typo),Verb + Präp.
verb_prep,sich üben in (+Dat),to practice,"Er übt sich täglich in Geduld, seit er mit dem Meditieren angefangen hat.",,2026-08-28,1,,Verb + Präp.
verb_prep,sorgen für (+Akk),to take care of / to provide for / to ensure,Dimitra Papadopoulou sorgt für eine gute Atmosphäre auf der Arbeit.,,,0,,Verb + Präp.
verb_prep,sprechen für (+Akk),to speak for,Seine langjährige Erfahrung spricht für ihn als geeigneten Kandidaten für die Stelle.,,2026-08-27,1,,Verb + Präp.
verb_prep,sprechen gegen (+Akk),to speak against,Die fehlenden Beweise sprechen gegen die ursprüngliche Theorie der Ermittler.,,,0,,Verb + Präp.
verb_prep,sprechen über (+Akk),to talk about / to speak about,Hedda Aziz spricht über ihren letzten Urlaub.,,,0,,Verb + Präp.
verb_prep,staunen über (+Akk),to be amazed at / to be astonished by,Malaika Hadrawi staunt über die Hilfsbereitschaft ihrer Kollegin.,,2026-08-31,1,,Verb + Präp.
verb_prep,stimmen gegen (+Akk),to oppose / to vote against,Die Mehrheit der Abgeordneten stimmte gegen den neuen Gesetzentwurf.,,,0,,Verb + Präp.
verb_prep,teilen in (+Akk),to divide into,Der Lehrer teilte die Klasse in vier Gruppen ein.,,,0,,Verb + Präp.
verb_prep,teilnehmen an (+Dat),to participate in,,,,0,,Verb + Präp.
verb_prep,telefonieren mit (+Dat),to talk on the phone with / to call,Toma Popescu telefoniert oft mit seinem Vater.,,,0,,Verb + Präp.
verb_prep,träumen von (+Dat),to dream of / to dream about,Wovon träumen Sie?,,,0,,Verb + Präp.
verb_prep,unabhängig von (+Dat),independent of,,,,0,"adjective + preposition, not strictly verb+prep, but a key fixed collocation",Verb + Präp.
verb_prep,unterrichten in (+Dat),to give lessons in / to teach,Sie unterrichtet seit zehn Jahren in Mathematik und Physik.,,,0,,Verb + Präp.
verb_prep,Verantwortung tragen für (+Akk),to bear responsibility for,Anita Jiménez trägt Verantwortung für Aufträge mit südamerikanischen Kunden.,,,0,from uploaded list,Verb + Präp.
verb_prep,Verantwortung übernehmen für (+Akk),to take on / assume responsibility for,Malaika Hadrawi übernimmt die Verantwortung für die schlechte Qualität des Orangensafts.,,,0,from uploaded list,Verb + Präp.
verb_prep,verfügen über (+Akk),to have available / to offer (as a feature),,,,0,,Verb + Präp.
verb_prep,verstoßen gegen (+Akk),to violate / to breach / to go against,"Die Mitarbeiterin hat so oft gegen die Regeln verstoßen, dass sie eine Abmahnung bekommt.",,,0,,Verb + Präp.
verb_prep,Verständnis haben für (+Akk),to have understanding for / to understand,Die meisten Arbeitgeber haben Verständnis für Mitarbeiter mit kleinen Kindern.,,,0,from uploaded list,Verb + Präp.
verb_prep,Verständnis zeigen für (+Akk),to show understanding for,Zeigen Sie Verständnis für die Sorgen Ihrer Kollegen.,,,0,from uploaded list,Verb + Präp.
verb_prep,Vertrauen genießen bei (+Dat),to enjoy the trust of / to be trusted by,Fadi Samet genießt als Übersetzer bei der Polizei Vertrauen.,,,0,from uploaded list,Verb + Präp.
